anio,valor,cobertura_bruta,cobertura_neta,desercion,aprobacion,reprobacion,repitencia,aseguramiento,formalidad
2005,6.076441635778088,NA,NA,NA,NA,NA,NA,NA,NA
2006,11.880717595342759,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,NA,NA,NA,NA,NA,NA,NA,NA
2008,5.665722379603399,NA,NA,NA,NA,NA,NA,NA,NA
2009,11.089548100914888,NA,NA,NA,NA,NA,NA,0.7815913501524813,NA
2010,10.826025765941322,NA,NA,NA,NA,NA,NA,0.7712460755656598,0.0421
2011,0,1.145,0.993,0.059699999999999996,0.9208,0.0196,0.0033,0.8084678486372056,0.0424
2012,5.174644243208279,1.126,1.0070000000000001,0.0662,0.8959,0.0379,0.0034999999999999996,0.8491591203104787,0.0338
2013,15.203729981755524,1.15,0.9329999999999999,0.032799999999999996,0.9290999999999999,0.0381,0.009399999999999999,0.8469997972836002,0.0496
2014,9.935419771485344,1.0163,0.9142,0.021,0.9771,0.0019,0.0317,0.8295081967213115,0.0664
2015,4.878048780487805,1.0434,0.9309999999999999,0.0415,0.8922,0.0663,0.0478,0.8352195121951219,0.0587
2016,4.773269689737471,1.0225,0.9087999999999999,0.0366,0.9002,0.0632,0.0375,0.8332696897374702,0.0395
2017,0,0.9952,0.8946,0.0223,0.9234,0.054299999999999994,0.014499999999999999,0.8403628542036846,NA
2018,4.576030750926646,1.015,0.9148999999999999,0.0253,0.9270999999999999,0.047599999999999996,0.0179,0.862261474397108,NA
2019,4.4758750335690625,0.996,0.9046,0.0473,0.9148999999999999,0.0379,0.0126,0.8549368901620267,NA
2020,13.214112672334052,0.9829000000000001,0.8867,0.0253,0.9355,0.0392,0.032400000000000005,0.8794432453860723,NA
2021,8.679425422037061,1.0059,0.9095,0.07719999999999999,0.8644,0.0584,0.0359,0.9113830664410016,NA
2022,17.16738197424893,1.0288,0.9339,0.054400000000000004,0.8673000000000001,0.0783,0.041100000000000005,0.9298712446351931,NA
2023,0,1.028,0.9537,0.044500000000000005,0.8962,0.0593,0.0993,0.9585773703420762,NA
2024,4.196038939241356,1.0094,0.9511,0.0496,0.9155,0.0348,0.08869999999999999,0.9776351124538436,NA
2025,16.592002654720424,NA,NA,NA,NA,NA,NA,0.9867678778828605,NA
2026,0,NA,NA,NA,NA,NA,NA,NA,NA
